"id"$"block_code"$"contents"
"CollectionUtils.java:1"$0$"/*"
"CollectionUtils.java:2"$0$" * Copyright 2002-2019 the original author or authors."
"CollectionUtils.java:3"$0$" *"
"CollectionUtils.java:4"$0$" * Licensed under the Apache License, Version 2.0 (the ""License"");"
"CollectionUtils.java:5"$0$" * you may not use this file except in compliance with the License."
"CollectionUtils.java:6"$0$" * You may obtain a copy of the License at"
"CollectionUtils.java:7"$0$" *"
"CollectionUtils.java:8"$0$" *      https://www.apache.org/licenses/LICENSE-2.0"
"CollectionUtils.java:9"$0$" *"
"CollectionUtils.java:10"$0$" * Unless required by applicable law or agreed to in writing, software"
"CollectionUtils.java:11"$0$" * distributed under the License is distributed on an ""AS IS"" BASIS,"
"CollectionUtils.java:12"$0$" * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied."
"CollectionUtils.java:13"$0$" * See the License for the specific language governing permissions and"
"CollectionUtils.java:14"$0$" * limitations under the License."
"CollectionUtils.java:15"$0$" */"
"CollectionUtils.java:16"$0$""
"CollectionUtils.java:17"$0$"package org.springframework.util;"
"CollectionUtils.java:18"$0$""
"CollectionUtils.java:19"$0$"import java.io.Serializable;"
"CollectionUtils.java:20"$0$"import java.util.ArrayList;"
"CollectionUtils.java:21"$0$"import java.util.Arrays;"
"CollectionUtils.java:22"$0$"import java.util.Collection;"
"CollectionUtils.java:23"$0$"import java.util.Collections;"
"CollectionUtils.java:24"$0$"import java.util.Enumeration;"
"CollectionUtils.java:25"$0$"import java.util.Iterator;"
"CollectionUtils.java:26"$0$"import java.util.LinkedHashMap;"
"CollectionUtils.java:27"$0$"import java.util.LinkedList;"
"CollectionUtils.java:28"$0$"import java.util.List;"
"CollectionUtils.java:29"$0$"import java.util.Map;"
"CollectionUtils.java:30"$0$"import java.util.Properties;"
"CollectionUtils.java:31"$0$"import java.util.Set;"
"CollectionUtils.java:32"$0$"import java.util.SortedSet;"
"CollectionUtils.java:33"$0$""
"CollectionUtils.java:34"$0$"import org.springframework.lang.Nullable;"
"CollectionUtils.java:35"$0$""
"CollectionUtils.java:36"$0$"/**"
"CollectionUtils.java:37"$0$" * Miscellaneous collection utility methods."
"CollectionUtils.java:38"$0$" * Mainly for internal use within the framework."
"CollectionUtils.java:39"$0$" *"
"CollectionUtils.java:40"$0$" * @author Juergen Hoeller"
"CollectionUtils.java:41"$0$" * @author Rob Harrop"
"CollectionUtils.java:42"$0$" * @author Arjen Poutsma"
"CollectionUtils.java:43"$0$" * @since 1.1.3"
"CollectionUtils.java:44"$0$" */"
"CollectionUtils.java:45"$1$"public abstract class CollectionUtils {"
"CollectionUtils.java:46"$1$""
"CollectionUtils.java:47"$1$"	/**"
"CollectionUtils.java:48"$1$"	 * Return {@code true} if the supplied Collection is {@code null} or empty."
"CollectionUtils.java:49"$1$"	 * Otherwise, return {@code false}."
"CollectionUtils.java:50"$1$"	 * @param collection the Collection to check"
"CollectionUtils.java:51"$1$"	 * @return whether the given Collection is empty"
"CollectionUtils.java:52"$1$"	 */"
"CollectionUtils.java:53"$1$"	public static boolean isEmpty(@Nullable Collection<?> collection) {"
"CollectionUtils.java:54"$1$"		return (collection == null || collection.isEmpty());"
"CollectionUtils.java:55"$1$"	}"
"CollectionUtils.java:56"$0$""
"CollectionUtils.java:57"$0$"	/**"
"CollectionUtils.java:58"$1$"	 * Return {@code true} if the supplied Map is {@code null} or empty."
"CollectionUtils.java:59"$1$"	 * Otherwise, return {@code false}."
"CollectionUtils.java:60"$0$"	 * @param map the Map to check"
"CollectionUtils.java:61"$0$"	 * @return whether the given Map is empty"
"CollectionUtils.java:62"$0$"	 */"
"CollectionUtils.java:63"$1$"	public static boolean isEmpty(@Nullable Map<?, ?> map) {"
"CollectionUtils.java:64"$1$"		return (map == null || map.isEmpty());"
"CollectionUtils.java:65"$1$"	}"
"CollectionUtils.java:66"$0$""
"CollectionUtils.java:67"$0$"	/**"
"CollectionUtils.java:68"$0$"	 * Convert the supplied array into a List. A primitive array gets converted"
"CollectionUtils.java:69"$0$"	 * into a List of the appropriate wrapper type."
"CollectionUtils.java:70"$1$"	 * <p><b>NOTE:</b> Generally prefer the standard {@link Arrays#asList} method."
"CollectionUtils.java:71"$1$"	 * This {@code arrayToList} method is just meant to deal with an incoming Object"
"CollectionUtils.java:72"$1$"	 * value that might be an {@code Object[]} or a primitive array at runtime."
"CollectionUtils.java:73"$1$"	 * <p>A {@code null} source value will be converted to an empty List."
"CollectionUtils.java:74"$0$"	 * @param source the (potentially primitive) array"
"CollectionUtils.java:75"$0$"	 * @return the converted List result"
"CollectionUtils.java:76"$0$"	 * @see ObjectUtils#toObjectArray(Object)"
"CollectionUtils.java:77"$0$"	 * @see Arrays#asList(Object[])"
"CollectionUtils.java:78"$0$"	 */"
"CollectionUtils.java:79"$0$"	@SuppressWarnings(""rawtypes"")"
"CollectionUtils.java:80"$1$"	public static List arrayToList(@Nullable Object source) {"
"CollectionUtils.java:81"$1$"		return Arrays.asList(ObjectUtils.toObjectArray(source));"
"CollectionUtils.java:82"$1$"	}"
"CollectionUtils.java:83"$0$""
"CollectionUtils.java:84"$0$"	/**"
"CollectionUtils.java:85"$0$"	 * Merge the given array into the given Collection."
"CollectionUtils.java:86"$1$"	 * @param array the array to merge (may be {@code null})"
"CollectionUtils.java:87"$0$"	 * @param collection the target Collection to merge the array into"
"CollectionUtils.java:88"$0$"	 */"
"CollectionUtils.java:89"$0$"	@SuppressWarnings(""unchecked"")"
"CollectionUtils.java:90"$1$"	public static <E> void mergeArrayIntoCollection(@Nullable Object array, Collection<E> collection) {"
"CollectionUtils.java:91"$1$"		Object[] arr = ObjectUtils.toObjectArray(array);"
"CollectionUtils.java:92"$1$"		for (Object elem : arr) {"
"CollectionUtils.java:93"$1$"			collection.add((E) elem);"
"CollectionUtils.java:94"$1$"		}"
"CollectionUtils.java:95"$0$"	}"
"CollectionUtils.java:96"$0$""
"CollectionUtils.java:97"$0$"	/**"
"CollectionUtils.java:98"$0$"	 * Merge the given Properties instance into the given Map,"
"CollectionUtils.java:99"$0$"	 * copying all properties (key-value pairs) over."
"CollectionUtils.java:100"$1$"	 * <p>Uses {@code Properties.propertyNames()} to even catch"
"CollectionUtils.java:101"$0$"	 * default properties linked into the original Properties instance."
"CollectionUtils.java:102"$1$"	 * @param props the Properties instance to merge (may be {@code null})"
"CollectionUtils.java:103"$0$"	 * @param map the target Map to merge the properties into"
"CollectionUtils.java:104"$0$"	 */"
"CollectionUtils.java:105"$0$"	@SuppressWarnings(""unchecked"")"
"CollectionUtils.java:106"$1$"	public static <K, V> void mergePropertiesIntoMap(@Nullable Properties props, Map<K, V> map) {"
"CollectionUtils.java:107"$1$"		if (props != null) {"
"CollectionUtils.java:108"$1$"			for (Enumeration<?> en = props.propertyNames(); en.hasMoreElements();) {"
"CollectionUtils.java:109"$1$"				String key = (String) en.nextElement();"
"CollectionUtils.java:110"$1$"				Object value = props.get(key);"
"CollectionUtils.java:111"$1$"				if (value == null) {"
"CollectionUtils.java:112"$0$"					// Allow for defaults fallback or potentially overridden accessor..."
"CollectionUtils.java:113"$1$"					value = props.getProperty(key);"
"CollectionUtils.java:114"$1$"				}"
"CollectionUtils.java:115"$0$"				map.put((K) key, (V) value);"
"CollectionUtils.java:116"$0$"			}"
"CollectionUtils.java:117"$0$"		}"
"CollectionUtils.java:118"$0$"	}"
"CollectionUtils.java:119"$0$""
"CollectionUtils.java:120"$0$""
"CollectionUtils.java:121"$0$"	/**"
"CollectionUtils.java:122"$0$"	 * Check whether the given Iterator contains the given element."
"CollectionUtils.java:123"$0$"	 * @param iterator the Iterator to check"
"CollectionUtils.java:124"$0$"	 * @param element the element to look for"
"CollectionUtils.java:125"$1$"	 * @return {@code true} if found, {@code false} otherwise"
"CollectionUtils.java:126"$0$"	 */"
"CollectionUtils.java:127"$1$"	public static boolean contains(@Nullable Iterator<?> iterator, Object element) {"
"CollectionUtils.java:128"$1$"		if (iterator != null) {"
"CollectionUtils.java:129"$1$"			while (iterator.hasNext()) {"
"CollectionUtils.java:130"$1$"				Object candidate = iterator.next();"
"CollectionUtils.java:131"$1$"				if (ObjectUtils.nullSafeEquals(candidate, element)) {"
"CollectionUtils.java:132"$1$"					return true;"
"CollectionUtils.java:133"$1$"				}"
"CollectionUtils.java:134"$0$"			}"
"CollectionUtils.java:135"$0$"		}"
"CollectionUtils.java:136"$0$"		return false;"
"CollectionUtils.java:137"$0$"	}"
"CollectionUtils.java:138"$0$""
"CollectionUtils.java:139"$0$"	/**"
"CollectionUtils.java:140"$0$"	 * Check whether the given Enumeration contains the given element."
"CollectionUtils.java:141"$0$"	 * @param enumeration the Enumeration to check"
"CollectionUtils.java:142"$0$"	 * @param element the element to look for"
"CollectionUtils.java:143"$1$"	 * @return {@code true} if found, {@code false} otherwise"
"CollectionUtils.java:144"$0$"	 */"
"CollectionUtils.java:145"$1$"	public static boolean contains(@Nullable Enumeration<?> enumeration, Object element) {"
"CollectionUtils.java:146"$1$"		if (enumeration != null) {"
"CollectionUtils.java:147"$1$"			while (enumeration.hasMoreElements()) {"
"CollectionUtils.java:148"$1$"				Object candidate = enumeration.nextElement();"
"CollectionUtils.java:149"$1$"				if (ObjectUtils.nullSafeEquals(candidate, element)) {"
"CollectionUtils.java:150"$1$"					return true;"
"CollectionUtils.java:151"$1$"				}"
"CollectionUtils.java:152"$0$"			}"
"CollectionUtils.java:153"$0$"		}"
"CollectionUtils.java:154"$0$"		return false;"
"CollectionUtils.java:155"$0$"	}"
"CollectionUtils.java:156"$0$""
"CollectionUtils.java:157"$0$"	/**"
"CollectionUtils.java:158"$0$"	 * Check whether the given Collection contains the given element instance."
"CollectionUtils.java:159"$0$"	 * <p>Enforces the given instance to be present, rather than returning"
"CollectionUtils.java:160"$1$"	 * {@code true} for an equal element as well."
"CollectionUtils.java:161"$0$"	 * @param collection the Collection to check"
"CollectionUtils.java:162"$0$"	 * @param element the element to look for"
"CollectionUtils.java:163"$1$"	 * @return {@code true} if found, {@code false} otherwise"
"CollectionUtils.java:164"$0$"	 */"
"CollectionUtils.java:165"$1$"	public static boolean containsInstance(@Nullable Collection<?> collection, Object element) {"
"CollectionUtils.java:166"$1$"		if (collection != null) {"
